hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y24H5740102,2023-24,2,"Unit, Flat or Apartment",Being Rented,0,2,July,Tuesday,Casey (C),25->29,25->29,30->34,"$1,250-$1,499 ($65,000-$77,999)",806.3371724,808.9794086,859.2155527,963.2556495,794.4745554,1004.367427,0.0,819.0426596,845.2074985,772.5439056,1371.00968,MELB - Outer,Greater Melbourne,Weekday
Y24H5740103,2023-24,1,Separate House,Fully Owned,0,1,July,Wednesday,Casey (C),70->74,70->74,70->74,"$500-$649 ($26,000-$33,799)",655.3046559,697.4454639,791.3707135,770.1514095,632.6616093,768.5310662,0.0,643.8853097,618.3858796,658.309756,966.5650298,MELB - Outer,Greater Melbourne,Weekday
Y24H5740104,2023-24,1,Separate House,Being Rented,1,0,July,Thursday,Casey (C),55->59,55->59,55->59,"$1-$149 ($1-$7,799)",754.3656665,789.3692441,892.3868683,876.6409711,879.2876655,876.7201431,0.0,767.5415314,669.9503066,782.6666704,1070.357088,MELB - Outer,Greater Melbourne,Weekday
Y24H5740109,2023-24,5,Separate House,Being Purchased,5,1,July,Tuesday,Casey (C),10->14,25->29,45->49,"$2,000-$2,499 ($104,000-$129,999)",876.2877141,827.2122719,1081.45325,1024.434533,939.2885086,1086.536723,0.0,891.0804774,914.8383325,837.5231274,1134.029424,MELB - Outer,Greater Melbourne,Weekday
Y24H5740110,2023-24,3,Separate House,Being Rented,1,1,July,Wednesday,Casey (C),25->29,45->49,60->64,"$1,750-$1,999 ($91,000-$103,999)",672.6834138,653.7350676,854.9008994,834.3956346,683.3100541,776.5464088,0.0,657.0576376,619.7356591,660.9241725,967.732619,MELB - Outer,Greater Melbourne,Weekday
Y24H5740111,2023-24,3,Separate House,Being Purchased,0,2,July,Thursday,Casey (C),25->29,40->44,65->69,"$4,000-$4,499 ($208,000-$233,999)",749.463904,730.5856604,943.1395233,917.9741336,749.7554985,848.2461277,0.0,759.9376353,666.2441713,733.4354024,1234.882158,MELB - Outer,Greater Melbourne,Weekday
Y24H5740116,2023-24,3,Separate House,Being Rented,0,1,July,Tuesday,Casey (C),10->14,20->24,40->44,"$500-$649 ($26,000-$33,799)",669.1512742,647.0223836,837.7585906,801.9132999,660.8752704,764.4219592,0.0,682.3143446,648.778965,650.2301284,981.7991911,MELB - Outer,Greater Melbourne,Weekday
Y24H5740117,2023-24,2,Separate House,Fully Owned,2,1,July,Wednesday,Casey (C),65->69,70->74,75->79,"$1,500-$1,749 ($78,000-$90,999)",693.9525028,685.5636495,777.9808792,856.5019332,729.525907,866.9186639,0.0,677.5242743,698.7547487,660.3194872,1028.552562,MELB - Outer,Greater Melbourne,Weekday
Y24H5740119,2023-24,2,Separate House,Fully Owned,0,2,July,Friday,Casey (C),60->64,65->69,65->69,"$3,500-$3,999 ($182,000-$207,999)",826.0206217,818.938591,917.9131674,997.8896857,851.1010746,1048.112093,0.0,827.1417867,812.385036,791.2786279,1369.766581,MELB - Outer,Greater Melbourne,Weekday
Y24H5740120,2023-24,1,Separate House,Fully Owned,Missing/Refused,1,July,Saturday,Casey (C),60->64,60->64,60->64,"$2,500-$2,999 ($130,000-$155,999)",669.9867768,699.0786846,825.9926439,788.6655688,633.3135711,796.4967277,0.0,670.2641881,638.9631189,681.8875085,998.3275969,MELB - Outer,Greater Melbourne,Weekend
Y24H5740123,2023-24,1,Separate House,Fully Owned,0,1,July,Tuesday,Casey (C),65->69,65->69,65->69,"$1,750-$1,999 ($91,000-$103,999)",931.2339557,986.1199325,1107.860428,1057.385785,874.1282017,1080.759661,1207.867429,955.1938346,924.8084706,925.2257348,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740127,2023-24,2,Separate House,Being Rented,0,2,July,Saturday,Casey (C),30->34,30->34,35->39,"$2,500-$2,999 ($130,000-$155,999)",1183.935463,1170.409156,1307.365978,1466.239443,1174.70164,1510.606709,1366.721357,1172.910699,1191.76672,1161.962525,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H5740128,2023-24,5,Separate House,Being Purchased,1,4,July,Sunday,Casey (C),15->19,35->39,55->59,"$5,000-$5,999 ($260,000-$311,999)",1701.328403,1793.42429,2105.65847,2107.424626,1612.475805,2252.472619,1765.722641,1669.84328,1795.2727,1716.952264,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H5740129,2023-24,4,Separate House,Being Purchased,0,3,July,Monday,Casey (C),40->44,55->59,75->79,"$3,000-$3,499 ($156,000-$181,999)",943.6600754,872.0454184,1170.933282,1091.497798,987.0869209,1102.990383,1092.870863,949.4707747,1004.379149,995.710471,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740131,2023-24,4,Separate House,Being Purchased,10,2,July,Wednesday,Casey (C),15->19,30->34,50->54,"$4,000-$4,499 ($208,000-$233,999)",1090.796564,1040.728753,1278.020041,1342.640455,1182.243516,1257.590803,1326.079301,1070.503524,1126.419361,1127.261451,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740135,2023-24,4,Separate House,Fully Owned,4,2,July,Sunday,Casey (C),0->4,20->24,40->44,"$5,000-$5,999 ($260,000-$311,999)",1189.321781,1091.214194,1423.598049,1445.261217,1328.437584,1319.740506,1390.18344,1197.684885,1211.775681,1231.966388,0.0,MELB - Outer,Greater Melbourne,Weekend
Y24H5740139,2023-24,2,Separate House,Fully Owned,0,3,July,Thursday,Casey (C),65->69,65->69,65->69,"$1,750-$1,999 ($91,000-$103,999)",1083.35746,1081.196205,1270.904685,1269.724932,1058.383987,1318.891676,1217.505433,1092.582335,1075.630911,1062.35248,0.0,MELB - Outer,Greater Melbourne,Weekday
Y24H5740305,2023-24,1,"Unit, Flat or Apartment",Fully Owned,2,1,July,Friday,Stonnington (C),60->64,60->64,60->64,"$3,500-$3,999 ($182,000-$207,999)",1160.296249,1356.40332,1621.11266,1535.834192,1176.933287,1220.404949,1173.870373,1240.637984,1250.006691,0.0,1104.469147,MELB - Inner,Greater Melbourne,Weekday
Y24H5740309,2023-24,2,"Unit, Flat or Apartment",Fully Owned,0,1,July,Tuesday,Stonnington (C),75->79,80->84,80->84,"$6,000-$7,999 ($312,000-$415,999)",919.2661975,1026.676499,1128.439107,1220.707911,902.4178953,1029.233828,890.4003445,1075.675436,1026.801743,0.0,925.792913,MELB - Inner,Greater Melbourne,Weekday
Y24H5740317,2023-24,2,"Unit, Flat or Apartment",Fully Owned,0,2,July,Wednesday,Stonnington (C),85->89,85->89,85->89,"$3,500-$3,999 ($182,000-$207,999)",1361.976409,1616.348667,1916.120829,1799.040799,1343.533193,1509.406553,1385.683848,1669.964099,1223.880715,0.0,1386.591109,MELB - Inner,Greater Melbourne,Weekday
Y24H5740318,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,0,July,Thursday,Stonnington (C),85->89,85->89,85->89,"$300-$399 ($15,600-$20,799)",1065.345241,1158.464085,1500.684027,1473.319859,1061.260089,1378.068877,1138.518617,1208.885828,929.2993148,0.0,920.3145683,MELB - Inner,Greater Melbourne,Weekday
Y24H5740326,2023-24,1,Separate House,Fully Owned,2,1,July,Friday,Stonnington (C),65->69,65->69,65->69,"$1,250-$1,499 ($65,000-$77,999)",928.236999,1085.122656,0.0,1228.667354,941.5466296,976.3239596,939.0962983,992.5103869,1000.005353,1067.268846,883.5753178,MELB - Inner,Greater Melbourne,Weekday
Y24H5740328,2023-24,1,Terrace or Townhouse,Being Rented,Missing/Refused,1,July,Sunday,Stonnington (C),55->59,55->59,55->59,"$1,250-$1,499 ($65,000-$77,999)",993.1770793,1135.585638,0.0,1328.386878,1021.111601,997.3837549,980.6017145,1058.851497,1069.14252,1157.514175,1017.478128,MELB - Inner,Greater Melbourne,Weekend
Y24H5740331,2023-24,2,Separate House,Fully Owned,3,2,July,Wednesday,Stonnington (C),60->64,60->64,60->64,"$2,500-$2,999 ($130,000-$155,999)",1089.581127,1293.078934,0.0,1439.232639,1074.826555,1207.525242,1108.547078,1335.971279,979.1045723,1220.896813,1109.272888,MELB - Inner,Greater Melbourne,Weekday
Y24H5740337,2023-24,2,Terrace or Townhouse,Being Rented,1,1,July,Tuesday,Stonnington (C),15->19,20->24,25->29,"$650-$799 ($33,800-$41,599)",735.412958,821.341199,0.0,976.5663291,721.9343163,823.3870621,712.3202756,860.5403489,821.4413941,819.5861676,740.6343304,MELB - Inner,Greater Melbourne,Weekday
Y24H5740340,2023-24,2,"Unit, Flat or Apartment",Being Rented,2,1,July,Friday,Stonnington (C),15->19,35->39,55->59,"$800-$999 ($41,600-$51,999)",753.3650805,831.452565,0.0,1011.678953,773.3904984,859.2492284,747.7656682,869.0498271,789.5418554,839.4616971,739.9627944,MELB - Inner,Greater Melbourne,Weekday
Y24H5740501,2023-24,4,Terrace or Townhouse,Being Purchased,2,1,July,Monday,Wyndham (C),5->9,20->24,40->44,"$2,000-$2,499 ($104,000-$129,999)",357.1606022,398.0040519,472.0204718,0.0,387.1957112,410.951159,455.7188629,404.4170516,365.9359709,341.8981035,393.0810429,MELB - Outer,Greater Melbourne,Weekday
Y24H5740504,2023-24,2,Separate House,Being Purchased,Missing/Refused,1,July,Thursday,Wyndham (C),70->74,70->74,70->74,,480.053421,565.1255577,572.4610503,0.0,525.1036243,511.0025063,606.8335595,505.3039698,470.2809726,478.2661249,561.1038061,MELB - Outer,Greater Melbourne,Weekday
Y24H5740505,2023-24,3,Separate House,Being Rented,1,1,July,Friday,Wyndham (C),5->9,20->24,35->39,"$1-$149 ($1-$7,799)",423.2629917,506.765794,541.0392841,0.0,469.2281535,475.8609943,482.199115,459.9033974,409.3348095,422.4376791,495.2093589,MELB - Outer,Greater Melbourne,Weekday
Y24H5740510,2023-24,3,Separate House,Being Rented,0,1,July,Wednesday,Wyndham (C),5->9,25->29,40->44,"$4,500-$4,999 ($234,000-$259,999)",415.3579231,505.7965934,516.8044132,0.0,452.8780014,463.2327509,480.2930628,438.5429612,406.8083231,419.2189735,488.5573022,MELB - Outer,Greater Melbourne,Weekday
Y24H5740514,2023-24,3,Separate House,Fully Owned,0,1,July,Sunday,Wyndham (C),0->4,25->29,35->39,"$2,500-$2,999 ($130,000-$155,999)",452.8747533,530.3326351,575.6730961,0.0,508.8800658,486.1255536,503.5109602,490.6441354,437.6349071,458.1578517,570.2566394,MELB - Outer,Greater Melbourne,Weekend
Y24H5740517,2023-24,2,"Unit, Flat or Apartment",Being Rented,0,3,July,Wednesday,Wyndham (C),35->39,35->39,35->39,"$2,000-$2,499 ($104,000-$129,999)",879.542139,1106.313951,957.6427559,0.0,926.5643329,891.7526929,1104.138822,1057.491464,882.3613308,924.4244979,1016.16084,MELB - Outer,Greater Melbourne,Weekday
Y24H5740519,2023-24,3,Separate House,Fully Owned,0,3,July,Friday,Wyndham (C),15->19,35->39,45->49,"$650-$799 ($33,800-$41,599)",739.6802725,929.9036085,885.9647948,0.0,806.8241511,770.7392026,817.6051118,956.2349976,714.572634,761.9405763,871.0267222,MELB - Outer,Greater Melbourne,Weekday
Y24H5740520,2023-24,2,"Unit, Flat or Apartment",Being Purchased,Missing/Refused,2,July,Saturday,Wyndham (C),55->59,55->59,55->59,"$800-$999 ($41,600-$51,999)",633.557479,747.1073758,798.0805265,0.0,659.1714401,670.6033429,834.3681548,656.0757186,639.3972213,646.1103592,743.2524971,MELB - Outer,Greater Melbourne,Weekend
Y24H5740522,2023-24,4,Separate House,Fully Owned,0,1,July,Monday,Wyndham (C),5->9,25->29,40->44,"$4,000-$4,499 ($208,000-$233,999)",285.7284818,318.4032415,0.0,302.0601199,309.756569,328.7609272,364.5750903,323.5336413,292.7487767,273.5184828,314.4648343,MELB - Outer,Greater Melbourne,Weekday
Y24H5740525,2023-24,5,Separate House,Fully Owned,3,2,July,Thursday,Wyndham (C),0->4,15->19,35->39,"$1,000-$1,249 ($52,000-$64,999)",537.1880644,664.471534,0.0,530.5963554,607.6617774,504.7383371,729.2030818,652.7694515,517.060133,506.5887701,613.9934556,MELB - Outer,Greater Melbourne,Weekday
Y24H5740529,2023-24,4,Separate House,Fully Owned,0,1,July,Monday,Wyndham (C),5->9,20->24,35->39,"$2,500-$2,999 ($130,000-$155,999)",285.7284818,318.4032415,0.0,302.0601199,309.756569,328.7609272,364.5750903,323.5336413,292.7487767,273.5184828,314.4648343,MELB - Outer,Greater Melbourne,Weekday
Y24H5740530,2023-24,3,Separate House,Being Rented,0,1,July,Tuesday,Wyndham (C),10->14,35->39,55->59,"$5,000-$5,999 ($260,000-$311,999)",330.5415627,400.4823773,0.0,361.9121289,350.4071042,364.8001284,367.4736309,364.3201278,340.698398,329.9486608,396.5270197,MELB - Outer,Greater Melbourne,Weekday
Y24H5740532,2023-24,2,Separate House,Fully Owned,2,1,July,Thursday,Wyndham (C),35->39,35->39,35->39,"$1,500-$1,749 ($78,000-$90,999)",384.0427368,452.1004461,0.0,441.5680617,420.0828994,408.802005,485.4668476,404.2431759,376.2247781,382.6129,448.8830449,MELB - Outer,Greater Melbourne,Weekday
Y24H5740533,2023-24,4,Separate House,Fully Owned,1,2,July,Friday,Wyndham (C),0->4,20->24,35->39,"$400-$499 ($20,800-$25,999)",406.4524197,464.9563671,0.0,399.9171827,434.7543709,441.1934703,543.9848349,462.6695309,405.3887695,385.4016549,450.4280355,MELB - Outer,Greater Melbourne,Weekday
Y24H5740534,2023-24,2,Separate House,Being Purchased,0,1,July,Saturday,Wyndham (C),30->34,30->34,30->34,"$2,500-$2,999 ($130,000-$155,999)",411.6573533,483.4522015,0.0,480.9653874,431.5370121,456.4882919,511.9694068,423.551613,417.8159158,424.7030915,477.3663529,MELB - Outer,Greater Melbourne,Weekend
Y24H5740536,2023-24,1,Separate House,Being Purchased,1,1,July,Monday,Wyndham (C),25->29,25->29,25->29,"$1,750-$1,999 ($91,000-$103,999)",449.2660346,549.8448543,0.0,461.464944,546.6954798,481.0910194,564.8203338,506.9488867,454.0872658,447.9577184,486.3660699,MELB - Outer,Greater Melbourne,Weekday
Y24H5740539,2023-24,2,Separate House,Being Rented,0,1,July,Thursday,Wyndham (C),25->29,25->29,25->29,"$1,250-$1,499 ($65,000-$77,999)",384.0427368,452.1004461,0.0,441.5680617,420.0828994,408.802005,485.4668476,404.2431759,376.2247781,382.6129,448.8830449,MELB - Outer,Greater Melbourne,Weekday
Y24H5740541,2023-24,2,Separate House,Being Rented,0,1,July,Saturday,Wyndham (C),30->34,30->34,30->34,"$3,500-$3,999 ($182,000-$207,999)",411.6573533,483.4522015,0.0,480.9653874,431.5370121,456.4882919,511.9694068,423.551613,417.8159158,424.7030915,477.3663529,MELB - Outer,Greater Melbourne,Weekend
Y24H5750105,2023-24,1,Separate House,Being Purchased,5,0,August,Friday,Mornington Peninsula (S),50->54,50->54,50->54,"$3,000-$3,499 ($156,000-$181,999)",322.2972206,320.6223544,454.5304926,283.7192835,333.7595264,0.0,359.9008892,365.7531833,319.365514,365.5413146,358.9336611,MELB - Outer,Greater Melbourne,Weekday
Y24H5750106,2023-24,1,Separate House,Being Rented,2,1,August,Saturday,Mornington Peninsula (S),55->59,55->59,55->59,"$500-$649 ($26,000-$33,799)",1021.160891,1022.153553,1268.904362,906.754812,1028.831287,0.0,1153.927744,1078.401822,1107.271328,1239.66352,1182.585764,MELB - Outer,Greater Melbourne,Weekend
Y24H5750108,2023-24,2,Separate House,Fully Owned,2,3,July,Monday,Mornington Peninsula (S),65->69,65->69,70->74,"$1,000-$1,249 ($52,000-$64,999)",803.0794371,790.2478079,771.1772987,828.7965629,911.0424081,0.0,874.0840485,832.8257038,1209.872768,820.4901034,1010.280992,MELB - Outer,Greater Melbourne,Weekday
Y24H5750115,2023-24,1,Separate House,Fully Owned,0,3,July,Monday,Mornington Peninsula (S),60->64,60->64,60->64,"$1,250-$1,499 ($65,000-$77,999)",777.7353939,767.8435106,939.8819005,728.9989992,820.0592269,0.0,806.3964091,887.286851,949.8056372,821.2147875,918.1807179,MELB - Outer,Greater Melbourne,Weekday
Y24H5750116,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Tuesday,Mornington Peninsula (S),70->74,70->74,70->74,"$500-$649 ($26,000-$33,799)",993.5386942,1009.294391,1191.340211,850.9979144,994.027822,0.0,1122.951405,1075.781688,1121.832718,1177.4347,1161.603571,MELB - Outer,Greater Melbourne,Weekday
Y24H5750117,2023-24,1,Terrace or Townhouse,Fully Owned,0,2,August,Wednesday,Mornington Peninsula (S),55->59,55->59,55->59,"$1,500-$1,749 ($78,000-$90,999)",946.3795481,967.8661374,1229.353136,849.7452332,906.6033588,0.0,1026.908629,1076.604085,1064.36662,1100.280107,1110.086305,MELB - Outer,Greater Melbourne,Weekday
Y24H5750123,2023-24,2,Separate House,Fully Owned,0,2,August,Tuesday,Mornington Peninsula (S),65->69,70->74,70->74,"$500-$649 ($26,000-$33,799)",972.0879918,985.8785109,988.4636878,928.4641501,974.119838,1149.782144,1064.55056,1049.366347,1419.340122,0.0,1239.190425,MELB - Outer,Greater Melbourne,Weekday
Y24H5750127,2023-24,1,Separate House,Fully Owned,0,1,August,Saturday,Mornington Peninsula (S),80->84,80->84,80->84,"$650-$799 ($33,800-$41,599)",1021.160891,1022.153553,1268.904362,906.754812,1028.831287,1440.977668,1153.927744,1078.401822,1107.271328,0.0,1182.585764,MELB - Outer,Greater Melbourne,Weekend
Y24H5750134,2023-24,1,Separate House,Fully Owned,2,1,August,Saturday,Mornington Peninsula (S),60->64,60->64,60->64,"$800-$999 ($41,600-$51,999)",1021.160891,1022.153553,1268.904362,906.754812,1028.831287,1440.977668,1153.927744,1078.401822,1107.271328,0.0,1182.585764,MELB - Outer,Greater Melbourne,Weekend
Y24H5750202,2023-24,3,Separate House,Fully Owned,0,2,August,Tuesday,Whitehorse (C),0->4,20->24,30->34,"$1,750-$1,999 ($91,000-$103,999)",647.4641478,696.944326,642.4429525,621.6044268,640.6780151,707.187385,997.6417872,0.0,770.4280526,635.1488257,653.3926853,MELB - Middle,Greater Melbourne,Weekday
Y24H5750203,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Wednesday,Whitehorse (C),65->69,65->69,65->69,"$500-$649 ($26,000-$33,799)",588.0676862,581.0009248,529.2526898,656.3539174,589.9615805,770.6183815,947.3261479,0.0,663.0339529,663.5924556,580.1759028,MELB - Middle,Greater Melbourne,Weekday
Y24H5750204,2023-24,2,Separate House,Being Purchased,0,1,August,Thursday,Whitehorse (C),15->19,30->34,40->44,"$400-$499 ($20,800-$25,999)",431.9374433,423.5324027,443.3330406,420.7953834,439.8805246,492.3141306,880.1728304,0.0,503.4094988,395.9304334,433.4948481,MELB - Middle,Greater Melbourne,Weekday
Y24H5750205,2023-24,2,"Unit, Flat or Apartment",Fully Owned,0,2,August,Friday,Whitehorse (C),25->29,40->44,60->64,"$1,250-$1,499 ($65,000-$77,999)",647.0511873,649.3034029,646.5116841,603.5123096,656.2985528,739.0303488,1370.078462,0.0,750.2420116,564.2793157,636.2270544,MELB - Middle,Greater Melbourne,Weekday
Y24H5750206,2023-24,5,"Unit, Flat or Apartment",Being Rented,0,2,August,Saturday,Whitehorse (C),15->19,30->34,45->49,"$4,000-$4,499 ($208,000-$233,999)",727.4651035,672.7049497,1090.138883,670.9106499,664.5282751,805.0239806,1127.952261,0.0,1008.407623,747.9752069,734.5396554,MELB - Middle,Greater Melbourne,Weekend
Y24H5750207,2023-24,3,Separate House,Fully Owned,1,1,August,Sunday,Whitehorse (C),5->9,25->29,40->44,"$2,500-$2,999 ($130,000-$155,999)",506.1288615,514.7853425,535.5590966,514.0743378,530.4496943,555.8695657,756.8797423,0.0,574.5054739,534.5940154,534.544133,MELB - Middle,Greater Melbourne,Weekend
Y24H5750208,2023-24,2,Separate House,Fully Owned,Missing/Refused,2,July,Monday,Whitehorse (C),60->64,60->64,65->69,"$3,000-$3,499 ($156,000-$181,999)",560.0445692,549.7084701,545.8663857,522.4346657,571.4106546,647.2014052,1197.152111,0.0,663.2855067,487.3921202,553.2652134,MELB - Middle,Greater Melbourne,Weekday
Y24H5750211,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,1,August,Thursday,Whitehorse (C),50->54,50->54,50->54,"$650-$799 ($33,800-$41,599)",560.9110197,544.5954686,518.0756186,617.0760319,574.8942908,715.2293147,882.8006091,0.0,616.8994896,619.2386703,563.4859373,MELB - Middle,Greater Melbourne,Weekday
Y24H5750216,2023-24,3,Terrace or Townhouse,Being Purchased,0,1,August,Tuesday,Whitehorse (C),15->19,25->29,50->54,"$3,500-$3,999 ($182,000-$207,999)",461.7629477,485.9272373,471.1517369,458.9809896,456.5745295,521.4221085,690.4848381,0.0,559.0650203,481.2440156,464.6179836,MELB - Middle,Greater Melbourne,Weekday
Y24H5750217,2023-24,2,"Unit, Flat or Apartment",Fully Owned,0,2,August,Wednesday,Whitehorse (C),20->24,40->44,55->59,"$3,000-$3,499 ($156,000-$181,999)",634.9665399,648.0615961,617.5523688,606.1634843,633.4299737,719.4182032,1364.662772,0.0,745.6113859,559.9798674,627.6807328,MELB - Middle,Greater Melbourne,Weekday
Y24H5750218,2023-24,1,"Unit, Flat or Apartment",Being Purchased,0,1,August,Thursday,Whitehorse (C),50->54,50->54,50->54,"$2,500-$2,999 ($130,000-$155,999)",560.9110197,544.5954686,518.0756186,617.0760319,574.8942908,715.2293147,882.8006091,0.0,616.8994896,619.2386703,563.4859373,MELB - Middle,Greater Melbourne,Weekday
Y24H5750224,2023-24,4,Separate House,Fully Owned,2,3,August,Wednesday,Whitehorse (C),15->19,35->39,55->59,"$800-$999 ($41,600-$51,999)",1845.226088,2222.626649,1438.752688,1842.441336,1924.332228,2103.566342,0.0,2425.573541,2541.43194,1445.080056,1795.396472,MELB - Middle,Greater Melbourne,Weekday
Y24H5750233,2023-24,4,"Unit, Flat or Apartment",Being Rented,0,1,August,Friday,Whitehorse (C),15->19,20->24,20->24,"$300-$399 ($15,600-$20,799)",693.4638144,653.3511208,731.8861966,701.2662747,712.2573368,804.8047921,0.0,895.0834605,817.4111485,750.8590869,674.6992499,MELB - Middle,Greater Melbourne,Weekday
Y24H5750234,2023-24,2,Terrace or Townhouse,Being Rented,0,1,August,Saturday,Whitehorse (C),25->29,25->29,30->34,"$2,000-$2,499 ($104,000-$129,999)",848.8258744,830.3222645,866.6378631,840.2887924,828.4364834,1007.860354,0.0,1139.517881,1024.94468,805.7236919,845.1698153,MELB - Middle,Greater Melbourne,Weekend
Y24H5750235,2023-24,4,Separate House,Being Purchased,1,2,August,Sunday,Whitehorse (C),15->19,40->44,50->54,"$5,000-$5,999 ($260,000-$311,999)",1040.371054,980.6511559,1061.853158,1026.815964,1083.918053,1115.074695,0.0,1443.8351,1204.324722,1074.783732,1092.622115,MELB - Middle,Greater Melbourne,Weekend
Y24H5750239,2023-24,5,Separate House,Fully Owned,5,4,August,Thursday,Whitehorse (C),20->24,35->39,55->59,"$4,500-$4,999 ($234,000-$259,999)",1754.839103,1687.863516,2184.759696,1579.797156,1645.75078,1877.255642,0.0,2353.313909,2329.169858,1359.949557,1776.260289,MELB - Middle,Greater Melbourne,Weekday
Y24H5750241,2023-24,2,Terrace or Townhouse,Fully Owned,0,2,August,Saturday,Whitehorse (C),30->34,30->34,35->39,"$3,500-$3,999 ($182,000-$207,999)",1190.187139,1190.895152,1181.711419,1138.014961,1162.485,1366.927326,0.0,1722.960073,1412.440602,1063.399108,1188.563066,MELB - Middle,Greater Melbourne,Weekend
Y24H5750309,2023-24,3,Separate House,Fully Owned,0,2,August,Tuesday,Maribyrnong (C),15->19,35->39,50->54,"$1,500-$1,749 ($78,000-$90,999)",717.3755697,721.9729383,835.786568,868.5210155,877.5761929,721.9958531,0.0,795.9744161,807.7935949,693.9287118,766.7701225,MELB - Middle,Greater Melbourne,Weekday
Y24H5750310,2023-24,1,"Unit, Flat or Apartment",Being Purchased,0,1,August,Wednesday,Maribyrnong (C),45->49,45->49,45->49,"$1,000-$1,249 ($52,000-$64,999)",897.8674169,945.2399368,958.1173119,1121.117585,1242.045114,900.5812145,0.0,983.5623019,988.5665432,889.3816241,856.6167056,MELB - Middle,Greater Melbourne,Weekday
Y24H5750311,2023-24,2,Separate House,Being Purchased,1,1,August,Thursday,Maribyrnong (C),40->44,45->49,45->49,"$4,000-$4,499 ($208,000-$233,999)",676.9552039,659.2543069,722.5657219,924.5966584,860.9473909,688.4409259,0.0,712.7234182,728.6214568,661.1756131,696.8688282,MELB - Middle,Greater Melbourne,Weekday
Y24H5750318,2023-24,1,"Unit, Flat or Apartment",Fully Owned,0,0,August,Thursday,Maribyrnong (C),55->59,55->59,55->59,"$1,250-$1,499 ($65,000-$77,999)",857.791527,867.5445576,913.0034264,1029.204264,1073.033411,812.5430876,0.0,876.7473354,970.7734451,1004.515194,817.5353842,MELB - Middle,Greater Melbourne,Weekday
Y24H5750320,2023-24,5,Separate House,Being Purchased,8,2,August,Saturday,Maribyrnong (C),15->19,25->29,45->49,"$4,000-$4,499 ($208,000-$233,999)",1014.99301,1036.127087,1219.764844,1210.138556,1279.341766,949.1537794,0.0,1205.873625,1112.072753,971.7142921,1013.678375,MELB - Middle,Greater Melbourne,Weekend
Y24H5750324,2023-24,4,"Unit, Flat or Apartment",Being Rented,0,1,August,Wednesday,Maribyrnong (C),0->4,20->24,40->44,"$1,500-$1,749 ($78,000-$90,999)",713.7928146,684.2099584,842.5383931,917.3094201,879.6753567,769.2824828,1002.577778,0.0,796.6575701,678.8093565,692.3175953,MELB - Middle,Greater Melbourne,Weekday
Y24H5750333,2023-24,4,Terrace or Townhouse,Fully Owned,1,3,August,Friday,Maribyrnong (C),15->19,35->39,55->59,"$8,000 or more ($416,000 or more)",1271.140947,1257.915371,1444.374962,1501.177813,1567.184365,1279.953039,1706.692809,0.0,1399.356075,1233.752347,1234.301735,MELB - Middle,Greater Melbourne,Weekday
Y24H5750340,2023-24,1,Separate House,Fully Owned,0,1,August,Friday,Maribyrnong (C),65->69,65->69,65->69,"$400-$499 ($20,800-$25,999)",1143.694474,1183.813991,1253.808722,1395.267697,1608.607985,1156.415083,1559.414257,0.0,1243.382555,1120.262717,1085.350193,MELB - Middle,Greater Melbourne,Weekday
Y24H5750342,2023-24,2,Separate House,Being Rented,0,2,August,Sunday,Maribyrnong (C),30->34,35->39,40->44,"$1,750-$1,999 ($91,000-$103,999)",1190.965087,1139.613829,1343.821711,1516.599413,1516.445807,1143.525892,1717.741719,0.0,1289.232381,1178.028188,1303.968371,MELB - Middle,Greater Melbourne,Weekend
Y24H5750401,2023-24,4,Separate House,Being Rented,0,2,July,Monday,Whittlesea (C),20->24,25->29,30->34,"$4,000-$4,499 ($208,000-$233,999)",407.0730183,441.214698,628.9629497,398.4861657,0.0,446.2834295,414.7794716,497.3601543,475.3176003,442.4692708,440.7630213,MELB - Outer,Greater Melbourne,Weekday
Y24H5750403,2023-24,5,"Unit, Flat or Apartment",Being Rented,0,2,August,Wednesday,Whittlesea (C),10->14,25->29,40->44,"$1,500-$1,749 ($78,000-$90,999)",333.6627772,367.5933847,518.1460167,332.1327137,0.0,379.1694419,361.1122316,339.6551936,367.726918,353.4320885,361.3921641,MELB - Outer,Greater Melbourne,Weekday
